p	weight	            alpha	            beta	            gamma
1	1	                0.333333333333333	0.333333333333333	0.333333333333333
2	0.333333333333333	0.666666666666667	0.166666666666667	0.166666666666667
3	-0.5625	            0.333333333333333	0.333333333333333	0.333333333333333
3	0.520833333333333	0.6	                0.2	                0.2
4	0.223381589678011	0.10810301816807	0.445948490915965	0.445948490915965
4	0.109951743655322	0.816847572980459	0.091576213509771	0.091576213509771
5	0.225	            0.333333333333333	0.333333333333333	0.333333333333333
5	0.132394152788506	0.05971587178977	0.470142064105115	0.470142064105115
5	0.125939180544827	0.797426985353087	0.101286507323456	0.101286507323456
6	0.116786275726379	0.501426509658179	0.24928674517091	0.24928674517091
6	0.050844906370207	0.873821971016996	0.063089014491502	0.063089014491502
6	0.082851075618374	0.053145049844817	0.310352451033784	0.636502499121399
7	-0.149570044467682	0.333333333333333	0.333333333333333	0.333333333333333
7	0.175615257433208	0.47930806784192	0.26034596607904	0.26034596607904
7	0.053347235608838	0.869739794195568	0.065130102902216	0.065130102902216
7	0.077113760890257	0.048690315425316	0.312865496004874	0.63844418856981
8	0.144315607677787	0.333333333333333	0.333333333333333	0.333333333333333
8	0.095091634267285	0.081414823414554	0.459292588292723	0.459292588292723
8	0.103217370534718	0.65886138449648	0.17056930775176	0.17056930775176
8	0.032458497623198	0.898905543365938	0.050547228317031	0.050547228317031
8	0.027230314174435	0.008394777409958	0.263112829634638	0.728492392955404
9	0.097135796282799	0.333333333333333	0.333333333333333	0.333333333333333
9	0.031334700227139	0.020634961602525	0.489682519198738	0.489682519198738
9	0.077827541004774	0.125820817014127	0.437089591492937	0.437089591492937
9	0.07964773892721	0.623592928761935	0.188203535619033	0.188203535619033
9	0.025577675658698	0.910540973211095	0.044729513394453	0.044729513394453
9	0.043283539377289	0.036838412054736	0.221962989160766	0.741198598784498
10	0.090817990382754	0.333333333333333	0.333333333333333	0.333333333333333
10	0.036725957756467	0.028844733232685	0.485577633383657	0.485577633383657
10	0.045321059435528	0.781036849029926	0.109481575485037	0.109481575485037
10	0.07275791684542	0.14170721941488	0.307939838764121	0.550352941820999
10	0.028327242531057	0.025003534762686	0.246672560639903	0.728323904597411
10	0.009421666963733	0.009540815400299	0.0668032510122	0.9236559335875
11	0.000927006328961	-0.069222096541517	0.534611048270758	0.534611048270758
11	0.077149534914813	0.20206139406829	0.398969302965855	0.398969302965855
11	0.059322977380774	0.593380199137435	0.203309900431282	0.203309900431282
11	0.036184540503418	0.761298175434837	0.119350912282581	0.119350912282581
11	0.013659731002678	0.935270103777448	0.032364948111276	0.032364948111276
11	0.052337111962204	0.050178138310495	0.356620648261293	0.593201213428213
11	0.020707659639141	0.021022016536166	0.171488980304042	0.807489003159792
12	0.025731066440455	0.02356522045239	0.488217389773805	0.488217389773805
12	0.043692544538038	0.120551215411079	0.43972439229446	0.43972439229446
12	0.062858224217885	0.457579229975768	0.271210385012116	0.271210385012116
12	0.034796112930709	0.744847708916828	0.127576145541586	0.127576145541586
12	0.006166261051559	0.957365299093579	0.02131735045321	0.02131735045321
12	0.040371557766381	0.115343494494586	0.275713269685514	0.608943235779788
12	0.022356773202303	0.022838332222257	0.28132558098994	0.695836086787803
12	0.017316231108659	0.02573405054833	0.116251915907597	0.858014033544073
